ServiceNo,Direction,Operator,n_stops,route_distance_km,wd_first_min,wd_last_min,wd_service_span_min,unique_stops,Category,OriginCode,DestinationCode,avg_wd_headway_min,one_way_trip_time_min,baseline_daily_trips,offered_stop_visits_per_day,complexity_score,bottleneck_score,throughput_intensity
63,1,SBST,103,38.9,1.0,1440.0,1112.0,101,TRUNK,82009,82009,10.75,165.71666666666664,103.44186046511628,10654.511627906977,2.3955015765558634,1.5909334905504569,64.29354296232714
61,1,SMRT,97,39.6,320.0,1440.0,1134.0,94,TRUNK,43009,82009,10.875,165.95,104.27586206896552,10114.758620689656,2.3244754892693784,1.5421557653116036,60.950639473875604
162M,1,SBST,97,39.0,1095.0,1440.0,315.0,96,TRUNK,55509,55509,13.625,163.95,23.119266055045873,2242.56880733945,2.2897947940194263,1.6261049060719406,13.678370279594084
51,1,SBST,97,37.8,1.0,1440.0,1105.0,97,TRUNK,64009,28009,12.375,159.94999999999996,89.29292929292929,8661.414141414141,2.220433403519522,1.5289186969181152,54.150760496493554
4N,1,SBST,84,41.8,,,,81,NIGHT SERVICE,2099,78059,40.0,168.73333333333332,85.54455445544555,7185.742574257426,2.2100830919611054,2.597013353657306,42.586384280466774
961C,2,SMRT,95,37.4,,,,95,TRUNK,80009,46009,13.25,157.91666666666666,85.54455445544555,8126.732673267327,2.1601506405490785,1.5200016775988938,51.462159408553
961C,1,SMRT,89,38.2,,,,89,TRUNK,46009,80009,12.75,158.48333333333332,85.54455445544555,7613.465346534654,2.094904669137585,1.450687132833947,48.03953315722781
51,2,SBST,95,36.0,1.0,1439.0,1095.0,95,TRUNK,28009,64009,12.75,153.25,85.88235294117646,8158.823529411764,2.0792290182991904,1.444253219299144,53.23865272046828
975,1,SMRT,92,36.6,330.0,1440.0,1082.0,91,TRUNK,45009,45009,8.5,154.2,127.29411764705883,11711.058823529413,2.0581662643434275,1.2605249227748736,75.94720378423744
857,1,SMRT,71,43.3,330.0,1440.0,1080.0,67,TRUNK,59009,59009,7.25,169.1833333333333,148.9655172413793,10576.551724137931,2.0552298835278884,1.193873492435951,62.515328878758346
961,2,SMRT,94,35.6,340.0,1439.0,1098.0,91,TRUNK,80009,46009,11.5,151.56666666666666,95.47826086956522,8974.95652173913,2.037527405063984,1.365507505527817,59.21458008624894
61,2,SMRT,91,35.7,330.0,1440.0,1108.0,90,TRUNK,82009,43009,11.75,150.85,94.29787234042553,8581.106382978724,1.9875640717332614,1.338461999178818,56.88502739793652
NR6,1,SMRT,87,36.7,,,,77,NIGHT RIDER,14519,67171,29.0,152.78333333333336,85.54455445544555,7442.376237623763,1.9710406315422286,2.0014852276696375,48.71196402939083
2N,1,SBST,78,38.7,,,,75,NIGHT SERVICE,2099,75109,40.0,156.3,85.54455445544555,6672.475247524753,1.9194126014249249,2.3910211089501914,42.69018072632599
62,1,GAS,88,35.3,330.0,1440.0,1145.0,87,TRUNK,65009,65009,11.625,148.46666666666664,98.49462365591398,8667.52688172043,1.9087001590275787,1.2766493730735071,58.380288830627066
961,1,SMRT,85,35.6,330.0,1440.0,1080.0,85,TRUNK,46009,80009,11.625,148.41666666666666,92.90322580645162,7896.774193548387,1.8702970574468403,1.2478020040685438,53.20678850229122
30,1,SBST,77,37.9,315.0,1435.0,1129.0,76,TRUNK,84009,22009,12.125,153.28333333333333,93.11340206185567,7169.731958762886,1.8545905246897503,1.2506321857432703,46.77437398344821
NR5,1,SMRT,88,34.0,,,,81,NIGHT RIDER,2099,22449,30.0,144.13333333333333,85.54455445544555,7527.920792079209,1.8335586526526828,1.9461637349739942,52.228867660124024
30,2,SBST,76,37.8,330.0,101.0,1142.0,75,TRUNK,22009,84009,11.75,152.59999999999997,97.19148936170212,7386.553191489362,1.83022925907952,1.2182733984832743,48.40467360084773
27,1,SBST,55,44.5,305.0,1440.0,1136.0,54,TRUNK,64009,64009,8.125,167.58333333333334,139.8153846153846,7689.846153846153,1.8272928782639812,1.058351499203325,45.88670007267719
3N,1,SBST,72,38.6,,,,68,NIGHT SERVICE,2099,45301,40.0,153.86666666666665,85.54455445544555,6159.20792079208,1.8021455871385035,2.305270085889445,40.029514216586314
5N,1,SBST,72,38.6,,,,67,NIGHT SERVICE,2099,27159,40.0,153.86666666666665,85.54455445544555,6159.20792079208,1.8021455871385035,2.305270085889445,40.029514216586314
66,1,TTS,88,33.2,330.0,1440.0,1050.0,88,TRUNK,84009,28009,13.25,141.46666666666667,79.24528301886792,6973.584905660377,1.787317725652747,1.2562971545649102,49.294898013621896
700A,1,SMRT,67,39.6,1126.0,1440.0,284.0,56,TRUNK,481,481,11.625,155.45,24.43010752688172,1636.8172043010752,1.767040997212232,1.1628946859127671,10.529541359286428
9,1,SBST,86,33.2,330.0,1440.0,1125.0,83,TRUNK,84009,84009,11.125,140.76666666666668,101.12359550561797,8696.629213483146,1.7501554261822707,1.1455969689432046,61.78045853764962
972,1,SMRT,63,40.2,330.0,1440.0,1085.0,54,TRUNK,45009,45009,6.75,156.05,160.74074074074073,10126.666666666666,1.7273970935212313,0.9409976987509916,64.89373064188827
66,2,TTS,86,32.6,330.0,1440.0,1108.0,86,TRUNK,28009,84009,12.625,138.76666666666668,87.76237623762377,7547.564356435644,1.7154747309323186,1.1804563892082642,54.390326853968126
67,2,SMRT,84,33.2,330.0,1440.0,1142.0,83,TRUNK,75009,44009,9.25,140.06666666666666,123.45945945945945,10370.594594594593,1.712993126711794,1.0447147274205546,74.04041833361204
965,1,SMRT,55,42.5,330.0,1440.0,1080.0,48,TRUNK,46009,46009,10.5,160.91666666666666,102.85714285714286,5657.142857142858,1.7116905607641413,1.0714611537134395,35.155729821706004
14,1,SBST,79,34.3,330.0,1439.0,1099.0,79,TRUNK,84009,17009,12.75,141.98333333333332,86.19607843137256,6809.490196078432,1.683668652660515,1.1581352407949999,47.95978539320413
135,1,SBST,82,33.3,330.0,1440.0,1069.0,80,TRUNK,54009,54009,12.375,139.7,86.38383838383838,7083.474747474747,1.6816109431163095,1.1441994086005605,50.7049015567269
34,1,GAS,56,40.9,325.0,1431.0,1125.0,53,TRUNK,65009,65009,10.0,155.9333333333333,112.5,6300.0,1.6377898564995075,1.0013204443604649,40.401881145788806
67,1,SMRT,80,33.1,330.0,1440.0,1113.0,79,TRUNK,44009,75009,9.375,138.33333333333334,118.72,9497.6,1.632888411895849,0.9911203371890699,68.65734939759037
36B,1,GAS,56,40.4,490.0,1164.0,579.0,51,TRUNK,93049,93199,54.333333333333336,154.26666666666665,10.656441717791411,596.760736196319,1.6088892771245475,2.722328994318581,3.868371237227652
36B,1,GAS,56,40.4,490.0,1164.0,579.0,51,TRUNK,93049,93199,23.666666666666668,154.26666666666665,24.464788732394364,1370.0281690140844,1.6088892771245475,1.5179945181677716,8.880908615043763
171,2,SMRT,73,34.3,340.0,1440.0,1131.0,70,TRUNK,2099,59009,11.125,139.88333333333333,101.66292134831461,7421.393258426967,1.5721817542490857,1.0125756218119384,53.0541636489477
154,2,SBST,74,33.8,300.0,1440.0,1123.0,73,TRUNK,82009,22009,10.25,138.56666666666666,109.5609756097561,8107.512195121952,1.561862324609364,0.9717964442473828,58.509830611897655
14,2,SBST,74,33.7,340.0,1440.0,1117.0,74,TRUNK,17009,84009,12.875,138.23333333333335,86.75728155339806,6420.038834951456,1.5560822087343722,1.0708768165659204,46.44349289812965
64,1,SBST,82,30.5,330.0,1439.0,1080.0,80,TRUNK,80289,80289,13.75,130.36666666666667,78.54545454545455,6440.727272727273,1.5197676986165338,1.0859729609420885,49.4047093280026
1N,1,SBST,67,35.2,,,,62,NIGHT SERVICE,2099,59561,40.0,140.78333333333333,85.54455445544555,5731.485148514852,1.5127158987125846,2.10087754940756,40.71138971361325
170,1,SBST,68,34.2,320.0,110.0,1176.0,66,TRUNK,1109,46239,15.875,137.8,74.07874015748031,5037.354330708661,1.4734958896979031,1.126989367023114,36.555546666971416
853C,2,SMRT,77,31.3,,,,75,TRUNK,94009,59009,13.625,131.28333333333333,85.54455445544555,6586.930693069307,1.4731028769402787,1.045009162715592,50.173396164041954
15,1,GAS,71,33.0,340.0,1439.0,1078.0,60,TRUNK,77009,77009,10.0,134.85,107.8,7653.8,1.4598779484037132,0.889042683206362,56.757879124953654
81,1,SBST,68,33.9,330.0,1437.0,1125.0,63,TRUNK,75009,75009,11.625,136.8,96.7741935483871,6580.645161290323,1.4561555420729269,0.9480601951745333,48.10413129598189
10,2,SBST,74,31.9,360.0,1440.0,1107.0,74,TRUNK,16009,75009,12.625,132.23333333333332,87.68316831683168,6488.554455445545,1.452040122984516,0.9889141394790433,49.06897748005202
NR2,1,SMRT,58,37.0,,,,49,NIGHT RIDER,2099,58291,30.0,143.63333333333333,85.54455445544555,4961.584158415842,1.4495276368452963,1.65769004492436,34.54340328439899
10,1,SBST,74,31.7,300.0,1440.0,1081.0,74,TRUNK,75009,16009,11.75,131.56666666666666,92.0,6808.0,1.4404798912345318,0.9465352536892577,51.74562959209526
197,1,SBST,72,32.2,325.0,1440.0,1155.0,72,TRUNK,84009,28009,12.75,132.53333333333333,90.58823529411765,6522.352941176471,1.4322181711390158,0.9785995729134744,49.21292460646231
170,2,SBST,66,34.0,315.0,130.0,1189.0,64,TRUNK,46239,1109,15.75,136.43333333333334,75.4920634920635,4982.476190476191,1.4247733584774422,1.0868166527507612,36.519493211406235
35,1,SBST,36,43.5,360.0,1271.0,849.0,30,TRUNK,84009,84009,12.125,157.6,70.02061855670104,2520.7422680412374,1.4164498745445353,0.9165054201652878,15.994557538332725
197,2,SBST,70,32.5,345.0,1440.0,1095.0,69,TRUNK,28009,84009,12.875,132.83333333333331,85.04854368932038,5953.398058252426,1.412396219293515,0.9682850063479052,44.8185550182115
171,1,SMRT,64,34.1,325.0,1434.0,1120.0,63,TRUNK,59009,2089,12.25,136.06666666666666,91.42857142857143,5851.428571428572,1.393391174881958,0.9261258153057961,43.00412962833345
6N,1,SBST,62,34.5,,,,59,NIGHT SERVICE,2099,65201,30.0,136.7,85.54455445544555,5303.762376237624,1.3793493389114495,1.6119843484451863,38.798554325074065
853C,1,SMRT,73,30.4,,,,72,TRUNK,59009,94009,12.75,126.88333333333333,85.54455445544555,6244.752475247525,1.3467572351243982,0.9200786703155197,49.21649133256949
154,1,SBST,67,32.0,330.0,85.0,1136.0,67,TRUNK,22009,82009,11.375,130.11666666666665,99.86813186813187,6691.1648351648355,1.3277521907128405,0.8484656469762437,51.42434867553352
196,1,SBST,68,31.6,330.0,1440.0,1107.0,68,TRUNK,84009,17009,10.125,129.13333333333333,109.33333333333333,7434.666666666666,1.3232128769481108,0.7969675939846506,57.57356737222509
178,2,SMRT,72,30.3,330.0,1440.0,1143.0,72,TRUNK,22009,46009,14.625,126.2,78.15384615384616,5627.076923076924,1.3223959695141678,0.9760813799470238,44.58856515908814
143,2,TTS,76,28.8,325.0,1440.0,1105.0,76,TRUNK,28009,52009,11.125,122.6,99.32584269662921,7548.7640449438195,1.310018830330241,0.8330048732965292,61.572300529721204
167,1,SMRT,70,30.4,330.0,1440.0,1080.0,70,TRUNK,58009,10009,12.875,125.83333333333333,83.88349514563107,5871.844660194175,1.2910137859186834,0.8841161511954472,46.663666173728544
5,1,SBST,61,33.2,330.0,1440.0,1081.0,60,TRUNK,77009,10009,12.5,132.01666666666668,86.48,5275.280000000001,1.2856266828013154,0.8589999017413408,39.959197071076886
143,1,TTS,73,29.2,330.0,1440.0,1085.0,73,TRUNK,52009,28009,11.125,122.88333333333333,97.52808988764045,7119.550561797752,1.2773958446244942,0.8081655450131113,57.937479141172545
196,2,SBST,66,31.1,345.0,1440.0,1083.0,66,TRUNK,17009,84009,11.25,126.76666666666667,96.26666666666667,6353.6,1.2571499981026746,0.7938604780429388,50.120431238495925
167,2,SMRT,70,29.8,345.0,1440.0,1080.0,68,TRUNK,10009,58009,12.625,123.83333333333334,85.54455445544555,5988.118811881189,1.2563330906687316,0.8502499627671181,48.35627573524513
178,1,SMRT,70,29.7,330.0,1439.0,1080.0,70,TRUNK,46009,22009,12.875,123.5,83.88349514563107,5871.844660194175,1.2505529747937394,0.8560598661446279,47.54530089226053
5,2,SBST,60,32.9,330.0,1438.0,1086.0,59,TRUNK,10009,77009,12.375,130.66666666666666,87.75757575757575,5265.454545454545,1.249705185441101,0.8284429771373092,40.29684601113173
147,1,SBST,75,27.9,330.0,1440.0,1107.0,75,TRUNK,64009,17009,10.375,119.24999999999999,106.6987951807229,8002.409638554217,1.2394166377200746,0.7538548441155851,67.1061604910207
NR3,1,SMRT,65,31.0,,,,53,NIGHT RIDER,5029,44009,30.0,126.08333333333334,85.54455445544555,5560.396039603961,1.2327887324924445,1.5125744143606898,44.10095999685891
860,1,SBST,73,28.3,330.0,1439.0,1138.0,71,TRUNK,59009,59009,10.75,119.88333333333333,105.86046511627907,7727.813953488372,1.2253748017495663,0.7573662623706174,64.46112014587827
195,1,SBST,70,28.6,345.0,1440.0,1110.0,70,TRUNK,2099,2089,12.5,119.83333333333334,88.8,6216.0,1.1869717001688276,0.7972445020590428,51.87204450625869
174,2,SBST,69,28.8,340.0,1440.0,1117.0,69,TRUNK,10499,22009,13.5,120.15,82.74074074074075,5709.111111111111,1.1799507821835733,0.8309085295084893,47.51653026309705
166,1,SBST,68,29.1,330.0,1439.0,1071.0,68,TRUNK,54009,17009,12.375,120.8,86.54545454545455,5885.090909090909,1.1787099800733112,0.7851280728375094,48.717639975918125
166,2,SBST,68,28.8,330.0,1440.0,1133.0,67,TRUNK,17009,54009,12.75,119.8,88.86274509803921,6042.666666666666,1.1613696324483351,0.7878308668214558,50.43962159154145
174,1,SBST,67,29.0,330.0,1440.0,1104.0,66,TRUNK,22009,10499,12.5,120.11666666666667,88.32,5917.44,1.154348714463081,0.772405173775625,49.26410434299986
506,2,SBST,48,35.1,360.0,1438.0,1050.0,43,EXPRESS,94009,28009,17.625,133.8,59.57446808510638,2859.574468085106,1.1538939378680666,0.9593107344130778,21.372006487930538
506,1,SBST,50,34.2,345.0,1406.0,1015.0,43,EXPRESS,28009,94009,18.0,131.5,56.388888888888886,2819.4444444444443,1.1390351944636152,0.9652129448474838,21.440642163075623
34B,1,GAS,46,35.3,349.0,1198.0,758.0,44,TRUNK,75359,75351,9.875,133.76666666666665,76.75949367088607,3530.936708860759,1.128291870147574,0.6357228880057143,26.39623754443628
147,2,SBST,71,27.2,345.0,1439.0,1137.0,71,TRUNK,17009,64009,9.5,115.51666666666665,119.6842105263158,8497.578947368422,1.1246312276541777,0.6369404331586044,73.56149716377223
110,1,SMRT,30,39.9,330.0,1440.0,1107.0,29,TRUNK,67759,67759,10.75,143.5,102.97674418604652,3089.3023255813955,1.0968788046333944,0.6364742793056394,21.528239202657808
182,1,SBST,60,29.9,345.0,1395.0,975.0,55,TRUNK,24009,24009,12.833333333333334,120.66666666666666,75.97402597402598,4558.441558441558,1.0763017091913412,0.7262013196725421,37.77713998708474
21,1,SBST,67,27.4,330.0,1440.0,1127.0,66,TRUNK,77009,52499,11.625,114.78333333333333,96.94623655913979,6495.397849462366,1.0618668604632089,0.6739137178842005,56.58833613587077
107M,1,SBST,70,26.3,1190.0,1440.0,225.0,66,TRUNK,64009,64009,13.875,112.16666666666667,16.216216216216218,1135.1351351351352,1.0540290350440116,0.7590582580082985,10.120075498975945
174e,2,SBST,61,28.9,1071.0,1229.0,55.0,36,EXPRESS,10499,22009,13.5,117.68333333333332,4.074074074074074,248.51851851851853,1.0370817001766595,0.7259259271111005,2.1117562825536202
98,1,TTS,68,26.5,330.0,1440.0,1142.0,63,TRUNK,28009,28009,10.375,112.13333333333334,110.07228915662651,7484.915662650603,1.0284269673235193,0.6023754612848792,66.75013967881037
2,1,GAS,69,26.1,320.0,1440.0,1106.0,69,TRUNK,99009,10499,13.0,111.15,85.07692307692308,5870.307692307692,1.0238876535587895,0.7030555418286463,52.814284231288276
74,2,SBST,64,27.7,337.0,1440.0,1096.0,64,TRUNK,11379,64009,9.5,114.73333333333332,115.36842105263158,7383.578947368421,1.0234637588824702,0.5616138240372651,64.35426159821402
